Time,symbol,Close,Open,High,Low,Volume
2017-10-04 07:00:00,VNINDEX,805.66,797.39,805.66,797.0,109372380
2017-10-05 07:00:00,VNINDEX,805.23,806.56,810.54,805.22,139251920
2017-10-06 07:00:00,VNINDEX,807.8,805.7,808.13,803.81,119935950
2017-10-09 07:00:00,VNINDEX,808.96,809.61,810.75,806.78,129146140
2017-10-10 07:00:00,VNINDEX,810.65,808.43,810.65,806.3,138184800
2017-10-11 07:00:00,VNINDEX,813.95,811.2,815.11,811.2,162513710
2017-10-12 07:00:00,VNINDEX,815.87,814.43,818.44,813.72,136859420
2017-10-13 07:00:00,VNINDEX,820.95,814.6,820.95,814.2,141204400
2017-10-16 07:00:00,VNINDEX,819.43,821.54,823.85,819.43,149580780
2017-10-17 07:00:00,VNINDEX,828.29,819.51,828.29,819.43,162264680
2017-10-18 07:00:00,VNINDEX,827.72,829.43,831.15,826.72,183072810
2017-10-19 07:00:00,VNINDEX,828.93,828.89,831.61,825.5,143640120
2017-10-20 07:00:00,VNINDEX,826.84,827.93,833.57,826.84,175594060
2017-10-23 07:00:00,VNINDEX,820.04,826.25,827.24,818.81,194440930
2017-10-24 07:00:00,VNINDEX,825.24,818.08,825.24,814.92,141570200
2017-10-25 07:00:00,VNINDEX,830.69,826.08,830.69,822.83,120610410
2017-10-26 07:00:00,VNINDEX,830.11,829.94,834.67,823.92,166974910
2017-10-27 07:00:00,VNINDEX,840.37,829.15,840.37,828.45,125941130
2017-10-30 07:00:00,VNINDEX,845.2,842.92,849.3,842.92,162129150
2017-10-31 07:00:00,VNINDEX,837.28,844.27,845.93,837.28,159926430
2017-11-01 07:00:00,VNINDEX,842.71,838.75,842.88,838.01,154993610
2017-11-02 07:00:00,VNINDEX,833.09,842.19,849.53,833.09,174440020
2017-11-03 07:00:00,VNINDEX,843.73,833.16,843.73,831.58,149701990
2017-11-06 07:00:00,VNINDEX,849.09,846.12,849.09,843.76,128405430
2017-11-07 07:00:00,VNINDEX,850.33,850.2,854.6,847.88,150836950
2017-11-08 07:00:00,VNINDEX,859.7,853.15,863.07,852.32,147296730
2017-11-09 07:00:00,VNINDEX,860.4,862.38,864.2,858.16,142874820
2017-11-10 07:00:00,VNINDEX,868.21,859.91,869.37,859.24,150463680
2017-11-13 07:00:00,VNINDEX,879.34,871.7,879.34,871.7,189223330
2017-11-14 07:00:00,VNINDEX,880.9,881.15,884.14,874.74,168957930
2017-11-15 07:00:00,VNINDEX,882.59,877.65,884.83,876.6,162193450
2017-11-16 07:00:00,VNINDEX,892.8,880.17,892.8,880.17,169624640
2017-11-17 07:00:00,VNINDEX,890.69,893.99,898.11,886.86,168088500
2017-11-20 07:00:00,VNINDEX,903.55,890.34,903.55,889.55,145015010
2017-11-21 07:00:00,VNINDEX,918.3,907.51,929.89,907.51,207576000
2017-11-22 07:00:00,VNINDEX,932.66,921.13,932.66,921.13,181455380
2017-11-23 07:00:00,VNINDEX,933.7,938.31,943.15,927.0,205435150
2017-11-24 07:00:00,VNINDEX,935.57,930.52,937.54,924.65,199758010
2017-11-27 07:00:00,VNINDEX,938.61,933.38,947.06,931.29,225989050
2017-11-28 07:00:00,VNINDEX,941.21,939.1,943.45,933.59,323706840
2017-11-29 07:00:00,VNINDEX,952.14,943.46,952.14,940.4,206121930
